"","x"
"1","Basal"
"2","IFE-DI"
"3","Basal"
"4","Basal"
"5","Basal"
"6","Basal"
"7","Basal"
"8","Basal"
"9","Basal"
"10","Basal"
"11","IFE-DI"
"12","Basal"
"13","Basal"
"14","Basal"
"15","Basal"
"16","Basal"
"17","Basal"
"18","Basal"
"19","IFE-KII"
"20","Basal"
"21","IFE-DII"
"22","Basal"
"23","Basal"
"24","Basal"
"25","Basal"
"26","Basal"
"27","IFE-DII"
"28","Basal"
"29","IFE-DII"
"30","Basal"
"31","Basal"
"32","Basal"
"33","Basal"
"34","Basal"
"35","IFE-DII"
"36","Basal"
"37","Basal"
"38","Basal"
"39","Basal"
"40","Basal"
"41","Basal"
"42","IFE-KI"
"43","IFE-DI"
"44","Basal"
"45","Basal"
"46","Basal"
"47","IFE-DI"
"48","Basal"
"49","IFE-DI"
"50","IFE-DI"
"51","Basal"
"52","IFE-KI"
"53","IFE-KI"
"54","IFE-DI"
"55","IFE-KI"
"56","IFE-KI"
"57","IFE-DI"
"58","IFE-DII"
"59","IFE-DII"
"60","IFE-DII"
"61","IFE-KI"
"62","IFE-KI"
"63","Basal"
"64","IFE-KI"
"65","IFE-KI"
"66","IFE-KI"
"67","IFE-DII"
"68","Basal"
"69","Basal"
"70","Basal"
"71","IFE-DII"
"72","Basal"
"73","Basal"
"74","Basal"
"75","Basal"
"76","Basal"
"77","Basal"
"78","IFE-DI"
"79","IFE-DI"
"80","Basal"
"81","Basal"
"82","Basal"
"83","IFE-DI"
"84","Basal"
"85","IFE-DI"
"86","Basal"
"87","Basal"
"88","Basal"
"89","Basal"
"90","Basal"
"91","Basal"
"92","Basal"
"93","Basal"
"94","Basal"
"95","IFE-DII"
"96","IFE-DI"
"97","IFE-DI"
"98","IFE-DII"
"99","IFE-KII"
"100","IFE-KI"
"101","Basal"
"102","Basal"
"103","IFE-DI"
"104","Basal"
"105","IFE-DII"
"106","IFE-KI"
"107","IFE-DI"
"108","IFE-DI"
"109","Basal"
"110","IFE-DII"
"111","Basal"
"112","IFE-DII"
"113","Basal"
"114","Basal"
"115","IFE-DI"
"116","Basal"
"117","IFE-DI"
"118","Basal"
"119","IFE-DII"
"120","Basal"
"121","Basal"
"122","Basal"
"123","IFE-KII"
"124","Basal"
"125","Basal"
"126","Basal"
"127","Basal"
"128","Basal"
"129","Basal"
"130","Basal"
"131","Basal"
"132","Basal"
"133","IFE-DI"
"134","Basal"
"135","IFE-DII"
"136","Basal"
"137","Basal"
"138","IFE-KI"
"139","Basal"
"140","Basal"
"141","Basal"
"142","IFE-DI"
"143","IFE-DI"
"144","Basal"
"145","Basal"
"146","Basal"
"147","Basal"
"148","Basal"
"149","IFE-DI"
"150","Basal"
"151","IFE-DI"
"152","Basal"
"153","Basal"
"154","Basal"
"155","Basal"
"156","Basal"
"157","IFE-DII"
"158","IFE-DII"
"159","Basal"
"160","IFE-DII"
"161","Basal"
"162","Basal"
"163","Basal"
"164","IFE-DI"
"165","IFE-KI"
"166","Basal"
"167","Basal"
"168","Basal"
"169","IFE-DI"
"170","Basal"
"171","IFE-DII"
"172","IFE-KI"
"173","IFE-DII"
"174","IFE-DI"
"175","IFE-DI"
"176","Basal"
"177","IFE-DII"
"178","Basal"
"179","IFE-DII"
"180","Basal"
"181","Basal"
"182","IFE-DII"
"183","Basal"
"184","Basal"
"185","Basal"
"186","Basal"
"187","Basal"
"188","Basal"
"189","Basal"
"190","IFE-KI"
"191","Basal"
"192","Basal"
"193","IFE-DII"
"194","IFE-DI"
"195","Basal"
"196","Basal"
"197","Basal"
"198","Basal"
"199","IFE-DII"
"200","IFE-KI"
"201","IFE-KI"
"202","Basal"
"203","IFE-KI"
"204","IFE-DII"
"205","IFE-KII"
"206","Basal"
"207","IFE-DI"
"208","IFE-DII"
"209","IFE-KII"
"210","Basal"
"211","Basal"
"212","IFE-DI"
"213","Basal"
"214","IFE-DI"
"215","Basal"
"216","Basal"
"217","Basal"
"218","Basal"
"219","Basal"
"220","Basal"
"221","IFE-DI"
"222","Basal"
"223","Basal"
"224","Basal"
"225","IFE-DII"
"226","IFE-DI"
"227","Basal"
"228","Basal"
"229","IFE-DII"
"230","IFE-DII"
"231","Basal"
"232","Basal"
"233","Basal"
"234","Basal"
"235","Basal"
"236","Basal"
"237","IFE-DI"
"238","Basal"
"239","IFE-KI"
"240","Basal"
"241","Basal"
"242","IFE-KI"
"243","Basal"
"244","IFE-DI"
"245","IFE-DI"
"246","Basal"
"247","IFE-DII"
"248","IFE-DI"
"249","Basal"
"250","Basal"
"251","Basal"
"252","IFE-DI"
"253","Basal"
"254","Basal"
"255","Basal"
"256","IFE-DI"
"257","Basal"
"258","Basal"
"259","Basal"
"260","Basal"
"261","IFE-KI"
"262","Basal"
"263","Basal"
"264","Basal"
"265","Basal"
"266","Basal"
"267","Basal"
"268","IFE-DI"
"269","Basal"
"270","IFE-DII"
"271","IFE-DI"
"272","Basal"
"273","IFE-KI"
"274","Basal"
"275","Basal"
"276","Basal"
"277","IFE-DII"
"278","IFE-KI"
"279","IFE-KI"
"280","IFE-KI"
"281","IFE-DI"
"282","Basal"
"283","Basal"
"284","Basal"
"285","IFE-DII"
"286","Basal"
"287","IFE-DI"
"288","Basal"
